Feature,MI
PTS_momentum,0.6315175187262232
PTS,0.6085633932319912
PTS_ewma_3,0.3376019924401654
MP_x_FG,0.3272225924943606
PTS_trend_slope,0.2958631284002933
AST_x_FG,0.2438054094308093
PTS_lag_3,0.2147027791794982
PTS_lag_2,0.21042005986089318
FG%,0.17690530304294638
FG_roll_mean_7,0.1437843812032109
PTS_roll_std_5,0.12452639467419546
cum_PTS_mean,0.11754476740997521
FG_lag_2,0.1035267718501971
PTS_roll_std_7,0.09284272381374148
PTS_roll_max_3,0.07815456336597948
FG_lag_1,0.07072202773974956
PTS_lag_1,0.06824909437312021
FG_roll_mean_3,0.0681636099741123
PTS_roll_mean_3,0.032609003497561684
PTS_roll_min_3,0.02139469221965218
MP_decimal,0.017483632890391565
AST,0.017382458613371288
PTS_roll_min_7,0.016795171549529808
PTS_roll_min_5,0.012716615350891303
FG_lag_3,0.0
PTS_roll_mean_7,0.0
FG_roll_mean_5,0.0
PTS_roll_mean_5,0.0
PTS_roll_std_3,0.0
cum_FG_mean,0.0
